ID,Name,Alignment,Gender,EyeColor,Species,HairColor,Publisher,SkinColor,Height,Weight
7,Adam Strange,good,Male,blue,Human,Blond,DC Comics,-,185,88
29,Ant-Man,good,Male,blue,Human,Blond,Marvel Comics,-,211,122
30,Ant-Man II,good,Male,blue,Human,Blond,Marvel Comics,-,183,86
33,Anti-Venom,-,Male,blue,Symbiote,Blond,Marvel Comics,-,229,358
34,Apocalypse,bad,Male,red,Mutant,Black,Marvel Comics,grey,213,135
36,Aqualad,good,Male,blue,Atlantean,Black,DC Comics,-,178,106
37,Aquaman,good,Male,blue,Atlantean,Blond,DC Comics,-,185,146
38,Arachne,good,Female,blue,Human,Blond,Marvel Comics,-,175,63
39,Archangel,good,Male,blue,Mutant,Blond,Marvel Comics,blue,183,68
40,Arclight,bad,Female,violet,-,Purple,Marvel Comics,-,173,57
41,Ardina,good,Female,white,Alien,Orange,Marvel Comics,gold,193,98
42,Ares,good,Male,brown,-,Brown,Marvel Comics,-,185,270
43,Ariel,good,Female,purple,-,Pink,Marvel Comics,-,165,59
44,Armor,good,Female,black,-,Black,Marvel Comics,-,163,50
47,Atlas,good,Male,brown,Mutant,Red,Marvel Comics,-,183,101
48,Atlas,bad,Male,blue,God / Eternal,Brown,DC Comics,-,198,126
49,Atom,good,Male,blue,-,Red,DC Comics,-,178,68
51,Atom Girl,good,Female,black,-,Black,DC Comics,-,168,54
52,Atom II,good,Male,brown,Human,Auburn,DC Comics,-,183,81
55,Aurora,good,Female,blue,Mutant,Black,Marvel Comics,-,180,63
56,Azazel,bad,Male,yellow,Neyaphem,Black,Marvel Comics,red,183,67
59,Bane,bad,Male,-,Human,-,DC Comics,-,203,180
60,Banshee,good,Male,green,Human,Strawberry Blond,Marvel Comics,-,183,77
61,Bantam,good,Male,brown,-,Black,Marvel Comics,-,165,54
63,Batgirl,good,Female,green,Human,Red,DC Comics,-,170,57
65,Batgirl IV,good,Female,green,Human,Black,DC Comics,-,165,52
67,Batgirl VI,good,Female,blue,-,Blond,DC Comics,-,168,61
68,Batman,good,Male,blue,Human,black,DC Comics,-,188,95
69,Batman,good,Male,blue,Human,Black,DC Comics,-,178,77
70,Batman II,good,Male,blue,Human,Black,DC Comics,-,178,79
71,Battlestar,good,Male,brown,-,Black,Marvel Comics,-,198,133
73,Beak,good,Male,black,-,White,Marvel Comics,-,175,63
74,Beast,good,Male,blue,Mutant,Blue,Marvel Comics,blue,180,181
75,Beast Boy,good,Male,green,Human,Green,DC Comics,green,173,68
78,Beta Ray Bill,good,Male,-,-,No Hair,Marvel Comics,-,201,216
80,Big Barda,bad,Female,blue,New God,Black,DC Comics,-,188,135
82,Big Man,bad,Male,blue,-,Brown,Marvel Comics,-,165,71
85,Binary,good,Female,blue,-,Blond,Marvel Comics,-,180,54
91,Bishop,good,Male,brown,Mutant,No Hair,Marvel Comics,-,198,124
92,Bizarro,neutral,Male,black,Bizarro,Black,DC Comics,white,191,155
94,Black Adam,bad,Male,brown,-,Black,DC Comics,-,191,113
95,Black Bolt,good,Male,blue,Inhuman,Black,Marvel Comics,-,188,95
96,Black Canary,good,Female,blue,Human,Blond,DC Comics,-,165,58
97,Black Canary,good,Female,blue,Metahuman,Blond,DC Comics,-,170,59
98,Black Cat,good,Female,green,Human,Blond,Marvel Comics,-,178,54
101,Black Knight III,good,Male,brown,Human,Brown,Marvel Comics,-,183,86
