idx,city,country,iso3,capital,lat,lng,admin_name,population
0,Tokyo,Japan,JPN,primary,35.6897,139.6922,Tōkyō,37732000.0
1,Jakarta,Indonesia,IDN,primary,-6.175,106.8275,Jakarta,33756000.0
2,Delhi,India,IND,admin,28.61,77.23,Delhi,32226000.0
3,Guangzhou,China,CHN,admin,23.13,113.26,Guangdong,26940000.0
4,Mumbai,India,IND,admin,19.0761,72.8775,Mahārāshtra,24973000.0
5,Manila,Philippines,PHL,primary,14.5958,120.9772,Manila,24922000.0
6,Shanghai,China,CHN,admin,31.2286,121.4747,Shanghai,24073000.0
7,São Paulo,Brazil,BRA,admin,-23.55,-46.6333,São Paulo,23086000.0
8,Seoul,"Korea, South",KOR,primary,37.56,126.99,Seoul,23016000.0
9,Mexico City,Mexico,MEX,primary,19.4333,-99.1333,Ciudad de México,21804000.0
10,Cairo,Egypt,EGY,primary,30.0444,31.2358,Al Qāhirah,20296000.0
11,New York,United States,USA,,40.6943,-73.9249,New York,18908608.0
12,Dhaka,Bangladesh,BGD,primary,23.7639,90.3889,Dhaka,18627000.0
13,Beijing,China,CHN,primary,39.9067,116.3975,Beijing,18522000.0
14,Kolkāta,India,IND,admin,22.5675,88.37,West Bengal,18502000.0
15,Bangkok,Thailand,THA,primary,13.7525,100.4942,Krung Thep Maha Nakhon,18007000.0
16,Shenzhen,China,CHN,minor,22.5415,114.0596,Guangdong,17619000.0
17,Moscow,Russia,RUS,primary,55.7558,37.6172,Moskva,17332000.0
18,Buenos Aires,Argentina,ARG,primary,-34.6033,-58.3817,"Buenos Aires, Ciudad Autónoma de",16710000.0
19,Lagos,Nigeria,NGA,minor,6.455,3.3841,Lagos,16637000.0
20,Istanbul,Turkey,TUR,admin,41.0136,28.955,İstanbul,16079000.0
21,Karachi,Pakistan,PAK,admin,24.86,67.01,Sindh,15738000.0
22,Bangalore,India,IND,admin,12.9789,77.5917,Karnātaka,15386000.0
23,Ho Chi Minh City,Vietnam,VNM,admin,10.7756,106.7019,Hồ Chí Minh,15136000.0
24,Ōsaka,Japan,JPN,admin,34.6939,135.5022,Ōsaka,15126000.0
25,Chengdu,China,CHN,admin,30.66,104.0633,Sichuan,14645000.0
26,Tehran,Iran,IRN,primary,35.6892,51.3889,Tehrān,14148000.0
27,Kinshasa,Congo (Kinshasa),COD,primary,-4.3219,15.3119,Kinshasa,12836000.0
28,Rio de Janeiro,Brazil,BRA,admin,-22.9111,-43.2056,Rio de Janeiro,12592000.0
29,Chennai,India,IND,admin,13.0825,80.275,Tamil Nādu,12395000.0
30,Xi’an,China,CHN,admin,34.2611,108.9422,Shaanxi,12328000.0
31,Lahore,Pakistan,PAK,admin,31.5497,74.3436,Punjab,12306000.0
32,Chongqing,China,CHN,admin,29.5637,106.5504,Chongqing,12135000.0
33,Los Angeles,United States,USA,,34.1141,-118.4068,California,11922389.0
34,Baoding,China,CHN,minor,38.874,115.464,Hebei,11544036.0
35,London,United Kingdom,GBR,primary,51.5072,-0.1275,"London, City of",11262000.0
36,Paris,France,FRA,primary,48.8567,2.3522,Île-de-France,11060000.0
37,Linyi,China,CHN,,35.1038,118.3564,Shandong,11018365.0
38,Dongguan,China,CHN,minor,23.021,113.752,Guangdong,10646000.0
39,Hyderābād,India,IND,admin,17.3617,78.4747,Telangāna,10494000.0
40,Tianjin,China,CHN,admin,39.1336,117.2054,Tianjin,10368000.0
41,Lima,Peru,PER,primary,-12.06,-77.0375,Lima,10320000.0
42,Wuhan,China,CHN,admin,30.5934,114.3046,Hubei,10251000.0
43,Nanyang,China,CHN,,32.9987,112.5292,Henan,9713112.0
44,Hangzhou,China,CHN,admin,30.267,120.153,Zhejiang,9523000.0
45,Foshan,China,CHN,minor,23.0214,113.1216,Guangdong,9498863.0
