ID,Name,Alignment,Gender,EyeColor,Race,HairColor,Publisher,SkinColor,Height,Weight
29,Ant-Man,good,Male,blue,Human,Blond,Marvel Comics,-,211,122
30,Ant-Man II,good,Male,blue,Human,Blond,Marvel Comics,-,183,86
33,Anti-Venom,-,Male,blue,Symbiote,Blond,Marvel Comics,-,229,358
34,Apocalypse,bad,Male,red,Mutant,Black,Marvel Comics,grey,213,135
38,Arachne,good,Female,blue,Human,Blond,Marvel Comics,-,175,63
39,Archangel,good,Male,blue,Mutant,Blond,Marvel Comics,blue,183,68
40,Arclight,bad,Female,violet,-,Purple,Marvel Comics,-,173,57
41,Ardina,good,Female,white,Alien,Orange,Marvel Comics,gold,193,98
42,Ares,good,Male,brown,-,Brown,Marvel Comics,-,185,270
43,Ariel,good,Female,purple,-,Pink,Marvel Comics,-,165,59
44,Armor,good,Female,black,-,Black,Marvel Comics,-,163,50
47,Atlas,good,Male,brown,Mutant,Red,Marvel Comics,-,183,101
55,Aurora,good,Female,blue,Mutant,Black,Marvel Comics,-,180,63
56,Azazel,bad,Male,yellow,Neyaphem,Black,Marvel Comics,red,183,67
60,Banshee,good,Male,green,Human,Strawberry Blond,Marvel Comics,-,183,77
61,Bantam,good,Male,brown,-,Black,Marvel Comics,-,165,54
71,Battlestar,good,Male,brown,-,Black,Marvel Comics,-,198,133
73,Beak,good,Male,black,-,White,Marvel Comics,-,175,63
74,Beast,good,Male,blue,Mutant,Blue,Marvel Comics,blue,180,181
76,Beetle,bad,Male,-,-,-,Marvel Comics,-,-99,-99
78,Beta Ray Bill,good,Male,-,-,No Hair,Marvel Comics,-,201,216
79,Beyonder,good,Male,-,God / Eternal,-,Marvel Comics,-,-99,-99
82,Big Man,bad,Male,blue,-,Brown,Marvel Comics,-,165,71
85,Binary,good,Female,blue,-,Blond,Marvel Comics,-,180,54
87,Bird-Brain,good,-,-,-,-,Marvel Comics,-,-99,-99
88,Bird-Man,bad,Male,-,Human,-,Marvel Comics,-,-99,-99
89,Bird-Man II,bad,Male,-,Human,-,Marvel Comics,-,-99,-99
91,Bishop,good,Male,brown,Mutant,No Hair,Marvel Comics,-,198,124
93,Black Abbott,bad,Male,red,-,Black,Marvel Comics,-,-99,-99
95,Black Bolt,good,Male,blue,Inhuman,Black,Marvel Comics,-,188,95
98,Black Cat,good,Female,green,Human,Blond,Marvel Comics,-,178,54
100,Black Goliath,good,Male,-,-,-,Marvel Comics,-,-99,-99
101,Black Knight III,good,Male,brown,Human,Brown,Marvel Comics,-,183,86
103,Black Mamba,bad,Female,green,-,Black,Marvel Comics,-,170,52
105,Black Panther,good,Male,brown,Human,Black,Marvel Comics,-,183,90
106,Black Widow,good,Female,green,Human,Auburn,Marvel Comics,-,170,59
107,Black Widow II,good,Female,blue,-,Blond,Marvel Comics,-,170,61
